"Address1","Address2","City","Email","Lat","Lng","Name","Phone","State","Website","Zip","_type"
"50795 Calle Guymas","","LaQuinta","melkesian@aol.com","33.679887","-116.291747","Kahnema Melkesian","760-485-2420 &amp; 760-564-4801","California","","92253","SkinscriptrxscraperItem"
"39935 Vista Del Sol","Suite 204","Rancho Mirage","sallypeoples@ymail.com","33.758488","-116.3988671","Sally Peoples Aesthetics","760-641-3743","CA","","92270","SkinscriptrxscraperItem"
"245 South Palm Canyon Dr., Suite 5","","Palm Springs","nikkibskincare@yahoo.com","33.8204024","-116.5469481","Salon 119 &#038; Spa/Nikki Roman","(760) 327-4800","California","http://www.salon119.com/","92262","SkinscriptrxscraperItem"
"3301 N Litchfield Rd. Suite 500","","Goodyear","kbesthetics@yahoo.com","33.4845935","-112.3618243","Champagne Images","623-536-6617","AZ","http://www.champagneimages.com","85395","SkinscriptrxscraperItem"
"3810 South Estrella Parkway","","Goodyear","DavidGerardSalon@hotmail.com","33.4119474","-112.3934026","David Gerard Salon","(623) 925-8181","AZ","http://www.davidgerardsalon.com/","85338","SkinscriptrxscraperItem"
"501 E. Plaza Circle","Suite E","Litchfield Park","arizonaskin@gmail.com","33.49293","-112.3431159","The Skincare Extraordinaire","623-826-3726","AZ","http://www.SkincareExtraordinaire.com","85340","SkinscriptrxscraperItem"
"5220 N. Dysart Rd. #E156","","Litchfield Park","lovingmyskin@hotmail.com","33.5114689","-112.3415902","Loving My Skin","623-688-3802","AZ","","85340","SkinscriptrxscraperItem"
"13000 W. Indian School Rd.","Suite A2","Litchfield Park","eileenmt@me.com","33.4948424","-112.3391807","Lavenders Day Spa","(623) 547-0204","AZ","http://lavendersdayspas.com/","85340","SkinscriptrxscraperItem"
"13547 N Litchfield RD Suite #1","","Surprise","silhouettebeautyllcaz@gmail.com","33.6053883","-112.3590859","Silhouette Beauty","623-203-3432","AZ","http://silhouettebeauty.net/","85379","SkinscriptrxscraperItem"
"13980 W. Bell Rd","Ste 5","Surprise","lisahurt@live.com","33.6402708","-112.3611979","Blush Skin Care","623-414-2528","AZ","http://blushskincarellc.com/","85374","SkinscriptrxscraperItem"
"9897 W. McDowell Rd. Suite 750","","Tolleson","","33.4643658","-112.2696331","Blu Sol Massage Spa","623-907-9937","AZ","http://blusoltolleson.com/","85353","SkinscriptrxscraperItem"
"9820 W. Lower Buckeye Rd","Suite D108","Tolleson","info@cosmodayspas.com","33.4222909","-112.2688825","Cosmo Day Spa","(623) 936-5200","AZ","http://www.cosmodayspas.com/","85353","SkinscriptrxscraperItem"
"","","Peoria","cocofam@cox.net","33.5805955","-112.2373779","Dawn Grove","623-225-5742","AZ","","85383","SkinscriptrxscraperItem"
"16049 N Fountain Center Dr, Suite #9","","Peoria","","33.6304099","-112.2378337","Absolute Skin Care &#038; Waxing","602-918-9902","AZ","http://www.absoluteskincare.biz/","85382","SkinscriptrxscraperItem"
"16049 N Fountain Center Dr #9","","Peoria","ccskincareaz@yahoo.com","33.6304099","-112.2378337","CCSkincare","818-378-0630","AZ","http://www.ccskincareaz.com/","85382","SkinscriptrxscraperItem"
"18255 N. 83rd Ave ","(Inside Bloom Salon)","Glendale","catosplace@cox.net","33.6465938","-112.2363237","Cato&#8217;s Face and Body Place","623-243-2235","AZ","http://www.catosplace.com/","85308","SkinscriptrxscraperItem"
"17570 N 75th Ave Suite 22","","Glendale","","33.6432869","-112.2203901","Ageless Skin Studio","480-630-1318","AZ","http://www.agelessskinstudio.com","85308","SkinscriptrxscraperItem"
"17570 N 75th Ave","Suite 42","Glendale","jaclynlisky@icloud.com","33.6432869","-112.2203901","Salon Fleur De Leigh","602-320-8569","AZ","http://www.azbeautyservices.com","85308","SkinscriptrxscraperItem"
"7200 W Bell Rd E104","","Glendale","relax@meltaz.com","33.6385336","-112.2139066","Melt Massage &#038; Facial Studio","480-221-2755","AZ","http://www.meltaz.com/","85308","SkinscriptrxscraperItem"
"5334 W. Northern Ave., Suite 103","","Glendale","timelessbeautybyjoana@gmail.com","33.5535111","-112.1747068","Timeless Beauty Aesthetics | Joana Espinoza","623-934-4969","AZ","","85301","SkinscriptrxscraperItem"
"1750 N. 75th Ave., Suite 22","(Inside Salon Boutique)","Glendale","","33.6568843","-112.2204344","Ageless Skin Studio / Teresa Prather","480-630-1318","AZ","http://www.agelessskinstudio.com/","85308","SkinscriptrxscraperItem"
" 21681 North 77th Ave.","Suite 1400","Peoria","","33.6812206","-112.224704","DermaHealth Institute of Glendale","623-594-1300","AZ","http://www.dermahealthinstitute.com/","85382","SkinscriptrxscraperItem"
"18205 N. 51st Ave #126","","Glendale","info@beautybykristina.com","33.651775","-112.168379","Beauty By Kristina","(623) 282-4159","AZ","http://www.beautybykristina.com/","85308","SkinscriptrxscraperItem"
"2835 N. Central Ave.","","Phoenix","phoenixlaserrc@gmail.com","33.4797305","-112.073667","Phoenix Laser &#038; Rejuvenation Center","623-224-9169","AZ","http://www.phoenixlrc.com/home.html","85004","SkinscriptrxscraperItem"
"4131 N. 24th St.","Suite A201","Phoenix","","33.495858","-112.0291929","Di Luxe Polish Lounge","602-955-3600","AZ","http://www.diluxepolishlounge.com/","85016","SkinscriptrxscraperItem"
"4449 N. 24th St","","Phoenix","customercare@bodybeautifulspa.net","33.5018817","-112.0298912","Body Beautiful Day Med Spa","602-522-9222","Arizona","http://www.bodybeautifulspa.net","85016","SkinscriptrxscraperItem"
"1130 E. Missouri ","Suite 580","Phoenix","gigismbs@gmail.com","33.51742","-112.057129","Gigi&#8217;s Mind Body and Soul Day Spa","(602) 441-2279","AZ","http://www.gigimbs.skincaretherapy.net","85014","SkinscriptrxscraperItem"
"4800 N. 68th St","","Scottsdale","mpfister172@gmail.com","33.507092","-111.936896","Scottsdale House Salon","(480) 238-2879","AZ","","85251","SkinscriptrxscraperItem"
"Steven Paul Salon","7045 E. 3rd Avenue","Scottsdale","LeahL.SkinCare@gmail.com","33.4961","-111.929344","Leah Lamphier Skin Care","602-402-1603","AZ","http://www.LeahLamphierSkinCare.com","85251","SkinscriptrxscraperItem"
"7045 E. 3rd Ave","","Scottsdale","","33.4961","-111.929344","Steven Paul Salon- Sherill DuBois","480-603-1000","Arizona","http://www.stevenpaulsalon.com/","85251","SkinscriptrxscraperItem"
"4333 N. Civic Center Plaza #600","","Scottsdale","","33.4993798","-111.9211414","Revitalizing Skincare","623-552-1101","AZ","http://www.revitalizingskincare.net","85251","SkinscriptrxscraperItem"
"10214 N. Tatum Blvd., Ste. B-300","","Phoenix","","33.579696","-111.978343","DermaHealth Institute of Paradise Valley","480-991-7900","Arizona","http://www.dermahealthinstitute.com","85028","SkinscriptrxscraperItem"
"2000 Westcourt Way ","","Tempe","","33.401549","-111.968763","Narande Spa At Marriott The Buttes Resort","1-602-431-2357 ","AZ","http://www.marriott.com/hotels/travel/phxtm-the-buttes-a-marriott-resort/","85282","SkinscriptrxscraperItem"
"10632 N Scottsdale Rd ","Suite A","Scottsdale","info@oneloveboutiquespa.com","33.583670","-111.926471","One Love Boutique Spa","480-522-4762","AZ","http://www.oneloveboutiquespa.com/","85254","SkinscriptrxscraperItem"
"9261 E Via De Ventura #106B","","Scottsdale","","33.5530194","-111.8811376","Salon Zoya","480-951-4285","AZ","","85258","SkinscriptrxscraperItem"
"Phoenix Salon Suites","S3610 N Scottsdale Rd. #120","Scottsdale","stephanie0336@yahoo.com","33.6071829","-111.9403254","Skin Couture LLC","480-239-7453","AZ","","85254","SkinscriptrxscraperItem"
"8520 E. Shea Blv d., Suite 100","","Scottsdale","info@vitalityskinandbody.com","33.583039","-111.897464","Vitality Skin &#038; Body/Ann Marie Worthington","480-203-3918","AZ","http://www.vitalityskinandbody.com/","85260","SkinscriptrxscraperItem"
"13216 N 7th St","Suite 7","Phoenix","","33.6060548","-112.0663997","BeautyWorx","602-863-3973","AZ","","85022","SkinscriptrxscraperItem"
"13610 N. Scottsdale Rd.","Suite 110","Scottsdale","","33.6101544","-111.9262185","Forever Fresh Skin Care","602-291-4130","AZ","http://www.foreverfreshskincare.skincaretherapy.net","85254","SkinscriptrxscraperItem"
"4807 E. Greenway Rd., Suite 1","","Scottsdale","","33.6247363","-111.9773179","Divine Skin Spa","480.626.8520","Arizona","http://www.divineskinspa.com","85254","SkinscriptrxscraperItem"
"7777 S. Pointe Parkway","","Phoenix","","33.375942","-111.969786","Arizona Grand Resort","602-431-6485","Arizona","http://www.arizonagrandresort.com/arizona-spa-resorts.php","85044","SkinscriptrxscraperItem"
"9160 E. Shea Blvd., #106","","Scottsdale","","33.5835659","-111.8835521","Mozaik Skin &#038; Body","480-315-8088","AZ","http://www.mozaikskin.com/","85260","SkinscriptrxscraperItem"
"4515 S Lakeshore Drive, Suite 105","","Tempe","","33.3823449","-111.9258427","Sonoran Serenity Spa","480-772-3297","AZ","http://sonoranserenityspa.com","85282","SkinscriptrxscraperItem"
"15455 N. Greenway Hayden Loop","C-14","Scottsdale","","33.6262149","-111.9203411","Facials by Ann","602-384-4186","AZ","http://www.facialsbyann.com","85260","SkinscriptrxscraperItem"
"5533 East Bell Road ","Suite 116","Scottsdale","lorna@lhsstudio.com","33.640162","-111.961383","Lorna&#8217;s Heavenly Skin Studio","480-593-3479","AZ","http://www.lhsstudio.com/","85254","SkinscriptrxscraperItem"
"1 3802 N. Scottsdale Rd. Ste 35","","Scottsdale","","33.6382027","-111.9252817","A Savvy Skin Care: Holistic, Corrective Skin Care","602-918-2073","Arizona","http://www.asavvyskincare.com/","85254","SkinscriptrxscraperItem"
"15609 N Hayden Rd","Suite 138","Scottsdale ","info@newserenityspa.com","33.627429","-111.891315","New Serenity Spa","480-998-6991","AZ","http://www.newserenityspa.com","85260","SkinscriptrxscraperItem"
"47 W Main St","","Mesa","phfaces@gmail.com","33.4147607","-111.8332361","Sarah Niemi L.E.","480-378-2300 ","AZ","","85201","SkinscriptrxscraperItem"
"","","Mesa","cyndi92688@yahoo.com","33.4151843","-111.8314724","Cyndi McKnight","(480)586-5826","Arizona","","","SkinscriptrxscraperItem"
"8575 East Princess Dr.","Suite 123","Scottsdale","","33.6447934","-111.8937022","The Blume Skin Centre","(480) 699-7999","AZ","http://blumeskintreatment.com/","85255","SkinscriptrxscraperItem"
"1855 S. Country Club Drive","","Mesa","azskinrehab@gmail.com ","33.3810889","-111.8391838","AZ Skin Rehab","(480) 215-6591","AZ","http://www.azskinrehab.com/","85210","SkinscriptrxscraperItem"
"1855 S. Country Club Dr. Suite 111","Studio 118 ","Mesa","natasha@inspiredskincarellc.com ","33.3810889","-111.8391838","Inspired Skincare LLC","(480) 939-0569","AZ","http://www.inspiredskincarellc.com","85210","SkinscriptrxscraperItem"
"18291 N Pima Rd Ste A-125","","Scottsdale","layne@sugarmewax.com","33.653744","-111.8863948","Sugar Me Wax","480-500-1555","AZ","http://www.sugarmewax.com/","85255","SkinscriptrxscraperItem"
"2855 E. Brown ","Suite 17","Mesa","","33.4365448","-111.7693394","Skin GLO Studio","(602) 573-6898","AZ","http://www.skinglostudio.com/","85213","SkinscriptrxscraperItem"
"7500 E. Pinnacle Peak Rd., Suite A-207","","Scottsdale","facialsbyann@yahoo.com","33.6993247","-111.9180171","Scottsdale Skin and Holistic Health","602-384-4186","Arizona","","85254","SkinscriptrxscraperItem"
"1140 N. Gilbert Rd.","Suite 101","Gilbert","estheticsgirl@yahoo.com ","33.3708339","-111.7909659","Mary Crawford (within Flair Salon)","480-993-7334 ","AZ","","85234","SkinscriptrxscraperItem"
"1140 N. Gilbert Rd., Suite 101","","Gilbert","","33.3704046","-111.790096","Flair! Salons","602-463-6944","Arizona","http://flairsalons.com/skincare.html","85234","SkinscriptrxscraperItem"
"78 North Cooper Rd. #103","","Gilbert","zynergysalon@gmail.com","33.351277","-111.807704","Zynergy Salon","480-539-1111","Arizona","http://www.zynergysalon.com/","85234","SkinscriptrxscraperItem"
"2401 East Baseline Rd Suite 104","","Gilbert","simplyravishingsalon@gmail.com","33.3785515","-111.7788332","Simply Ravishing Salon","480-558-5143","AZ","http://www.simplyravishingsalon.com/","85234","SkinscriptrxscraperItem"
"2060 W Whispering Wind Drive","","Phoenix","","33.7113003","-112.1039297","The Pretty Parlor","(480) 334-0027","AZ","http://www.theprettyparlor.com","85085","SkinscriptrxscraperItem"
"2540 Apache Trail #110","","Apache Junction","kurnitak@aol.com","33.4161279","-111.5733759","Kurnita Wallace | Sherry &#038; Co. Hair Design","(480) 982-1849","AZ","","85120","SkinscriptrxscraperItem"
"1917 S Signal Butte Rd","Suite 109","Mesa","info@thevillagesalonandspa.com","33.3807106","-111.5986894","The Village Salon and Spa","(480) 380-2787","AZ","http://www.thevillagesalonandspa.com ","85209","SkinscriptrxscraperItem"
"3514 N Power Rd Suite 104","","Mesa","","33.4802435","-111.6852134","Waxetera","602-793-4553","AZ","http://www.waxetera.com/","85215","SkinscriptrxscraperItem"
"4140 E. Baseline Rd., Suite 110","","Mesa","","33.3793265","-111.7448952","DermaHealth Institute of Mesa","480-539-0777","Arizona","http://www.dermahealthinstitute.com/","85206","SkinscriptrxscraperItem"
"1530 S. Val Vista Dr. #101","","Gilbert","","33.322367","-111.756204","White Lotus Salon and Spa","(480) 247-6879","AZ","http://whitelotussalon.com/","85296","SkinscriptrxscraperItem"
"4410 50th St.","","Lubbock","naturalskin108@gmail.com","33.5493158","-101.9062832","Natural Skin 108","806-392-4055","TX","http://lubbockhwy108.com/","79414","SkinscriptrxscraperItem"
"4150 McKnight Rd","","Texarkana","annierateliffskincare@gmail.com","33.4646441","-94.0948947","Annie Rateliff Skincare","903-556-8659","TX","http://www.annierateliffskincare.skincaretherapy.net/","75503","SkinscriptrxscraperItem"
"111 Petrol Point","Suite 100","Peachtree City","","33.4116193","-84.5602879","Aromaskin Salon","770-815-2678 ","GA","http://www.aromaskinsalon.com ","30269","SkinscriptrxscraperItem"
"1580 Flat Shoals Rd SE","Unit B","Atlanta","myskintherapist@hotmail.com","33.7312589","-84.3361015","Laciana Waxing &#038; Beauty Salon","404-941-6575","GA","","30316","SkinscriptrxscraperItem"
"110 E. Andrews Drive NW","Suite 307","Atlanta","rawnaturefab@gmail.com","33.8428743","-84.3827375","Rawnature Face &#038; Body","(404) 771-0164","GA","http://rawnaturefaceandbody.com/","30305","SkinscriptrxscraperItem"
"21 W Robert Toombs Ave","","Washington","","33.7368552","-82.7385848","Glo Facial Spa &#038; Waxing","706-990-1541","GA","","30673","SkinscriptrxscraperItem"
"3456 Forestbrook Rd.","","Myrtle Beach","","33.696886","-78.999942","That Curl Salon and Spa","843-236-2230","SC","http://www.thatcurlsalonandspa.net/","29588","SkinscriptrxscraperItem"
"226 N. Skyline Dr","","Thousand Oaks","tara@skinbytara.com","34.1723766","-118.8359471","Skin By Tara (located inside Studio 226)","(805) 373-1930","CA","http://www.skinbytara.com","91362","SkinscriptrxscraperItem"
"1131 Montana Ave.","","Santa Monica","skintegrityskincare@gmail.com","34.0306397","-118.4973197","SKINTEGRITY Skincare Studio","(310) 482-7476","CA","http://skintegrityla.com/index.html","90403","SkinscriptrxscraperItem"
"1051 Glendon Ave. Suite 105","","Los Angeles","appointments@goddesslynneBODYandSKIN.com","34.0616564","-118.4442906","goddesslynneBODYandSKIN","(310) 487-3663","CA","http://www.goddesslynnebodyandskin.com/","90024","SkinscriptrxscraperItem"
"By Appointment Only","","Sherman Oaks","info@colorandcream.net","34.1482691","-118.4338345","Color and Cream | Makeup and Skin Care","(818) 570-3322","CA","http://www.colorandcream.net/","91423","SkinscriptrxscraperItem"
"1601 S. Pacific Coast Hwy. #280","Studio 50","Hermosa Beach","sirrells@yahoo.com","33.8669811","-118.3941963","Hello Beautiful Skin Studio","310 502-3524","CA","http://www.hellobeautifulskinstudio.com/","90254","SkinscriptrxscraperItem"
"4521 Van Nuys Blvd.","(located inside The Dollhouse)","Sherman Oaks","jenchristieskincare@gmail.com","34.1536832","-118.4489553","Jen Christie Skin Care + Waxing Studio","818-621-6565","CA","http://jenchristieskincare.gettimely.com/","91604","SkinscriptrxscraperItem"
"13235 Ventura Blvd.","","Studio City","sayhitojasmine@gmail.com","34.1465716","-118.4208927","Jasmine Skin Care + Lash Studio (Inside Stiletto Nail Bar)","(818) 669-0333","CA","","91604","SkinscriptrxscraperItem"
"914 S Glenoaks Blvd.","","Burbank","info@laexpresscenters.com","34.1772881","-118.2977152","LA Express Centers","(855) 523-9773","CA","http://www.laexpresscenters.com/home.html","91501","SkinscriptrxscraperItem"
"2032 Thompson Court","Suite 2","Montrose","","34.205996","-118.2258132","Silky Skin","818-334-4926","CA","http://www.silky-skin.net/","91020","SkinscriptrxscraperItem"
"799 E. Green St.","Suite 30","Pasadena","glowonesthetics@gmail.com","34.144912","-118.1341206","Glow On Esthetics","213-608-6810","CA","","91101","SkinscriptrxscraperItem"
"139 N Raymond Avenue","","Fullerton","glowing.radiance@outlook.com","33.8715996","-117.9076086","Glowing Radiance","626-217-7795","CA","","92831","SkinscriptrxscraperItem"
"620 N. Rose Dr, Suite 127 & 128","(Inside Phenix Salon Suites)","Placentia","radiantskinoc@gmail.com","33.8731079","-117.8791498","Radiant Skin Care","714-512-0917","CA","http://www.radiantskinoc.com/","92870","SkinscriptrxscraperItem"
"283 S. Mountain Avenue","","Upland","","34.0909574","-117.6721225","Massage Green-Upland","(909) 367-2468","CA","http://www.massagegreenspa.com/#!upland-california/c1di9","91786","SkinscriptrxscraperItem"
"4965 East St.","","Riverside","","33.9773333","-117.4453631","Aesthetics by Rose","(951) 858-0267","CA","http://aestheticsbyrose.com/","92505","SkinscriptrxscraperItem"
"3700 Van Buren Blvd Ste 106 ","","Riverside","dermaspa@att.net","33.9187336","-117.4450467","Derma Spa","951-351-8696","CA","http://www.Dermaspaskincare.com","92503","SkinscriptrxscraperItem"
"111 E State St. Suite 207","","Redlands","bluebutterflybodycare@gmail.com","34.0564576","-117.1810007","Blue Butterfly Skin Care Studio","951-842-9696","CA","","92373","SkinscriptrxscraperItem"
"33490 Oakglen Rd., Suite C","","Yucaipa","skinessentialsnow@verizon.net","34.032137","-117.075088","Skin Essentials","909-790-9000","California","http://www.skinessentials-dayspa.com/","92399","SkinscriptrxscraperItem"
"4111 W Innovative Dr, Ste 112 ","","Anthem","info@tlc-aesthetics.com","33.8670277","-112.1482899","TLC Aesthetics","(602) 339-6819 ","AZ","http://tlc-aesthetics.com/","85086","SkinscriptrxscraperItem"
"110 Evans Mill Dr.","Suite 310","Dallas","","33.9170155","-84.7658907","Private Moments Natural Skin Therapy","404-429-5623","GA","http://www.privatemoments.skincaretherapy.net/","30157","SkinscriptrxscraperItem"
"1275 Shiloh Rd. Suite 2031","","Kennesaw","","34.0480499","-84.5878441","Shine Aesthetics","678-907-0708","GA","http://www.yharper.massagetherapy.com","30144","SkinscriptrxscraperItem"
"845 Shaw Park Rd., Ste B","","Marietta","","34.025703","-84.5267329","Patti Miller Business Manager/Esthetician  Larry H. Miller, DDS Dental Spa Fine Feathers Spa, LLC","770-428-0805; 770-597-4840  ","GA","http://www.yourmariettadentist.com/","30066","SkinscriptrxscraperItem"
"2525 Shallowford Rd.","Suite 200","Marietta","","34.0419478","-84.4775118","Skin Image Spa","(678) 982-7470","GA","","30066","SkinscriptrxscraperItem"
"145 Towne Lake Pkwy Ste 101","","Woodstock","","34.1017808","-84.5257586","A New You Skin and Body Clinic","(678) 739-0040","GA","http://www.anewyouclinic.com/","30188","SkinscriptrxscraperItem"
"1195 Woodstock Road, Suite 910","Salon #19","Roswell","mirele@unicaskincare.com","34.0622795","-84.3988212","Unica Skin Care, LLC","(770) 633-7297","GA","http://www.unicaskincare.com","30075","SkinscriptrxscraperItem"
"1105 Parkside Lane","Suite 1000 No.28","Woodstock","info@socleanaesthetics.com ","34.1078415","-84.5528869","So Clean Aesthetics, LLC","(678) 885-7226","GA","http://www.socleanaesthetics.com ","30189","SkinscriptrxscraperItem"
"4651 Roswell Rd, suite 703","","Sandy Springs","Skincarebykimbella@gmail.com","33.8821012","-84.3785718","Skincare by KimBella","(404) 345-5881","GA","http://squareup.com/store/skinfacebodybykimbella","30342","SkinscriptrxscraperItem"
"5755 N. Point Pkwy","Suite 268","Alpharetta","","34.0535915","-84.2804793","Mango Bliss Spa/Patience Jeacoma","770-569-9969","GA","http://mangoblissspa.com/","30022","SkinscriptrxscraperItem"
"769 Peachtree Parkway","Suite 3","Cumming","estysusan@gmail.com","34.142869","-84.1725089","Susan&#8217;s Skin Care Studio","(770) 634-5590","GA","http://www.susansskincarestudio.com/","30041","SkinscriptrxscraperItem"
"131 State Street","","West Columbia","","33.993507","-81.055543","Spa 131","893-251-9400","SC","http://www.spa131.com/","29169","SkinscriptrxscraperItem"
"5276 Hollister Ave., #456","","Santa Barbara","","34.4353882","-119.8085591","Dona Bella Spa","805-637-9842","CA","http://donabellaspa.com/","93111","SkinscriptrxscraperItem"
"30 W. Mission St. #4","","Santa Barbara","","34.4301003","-119.7157903","Mary Helm Skincare","805-569-5590","CA","","93101","SkinscriptrxscraperItem"
"2026 Cliff Dr","","Santa Barbara","","34.4021668","-119.7249461","Massage Green Spa | Santa Barbara","805-259-1490","CA","http://www.massagegreenspa.com/#!santa-barbara-california/c14ne","93109","SkinscriptrxscraperItem"
"26615 Bouquet Canyon Road Suite 19","","Santa Clarita","dfmakeup@aol.com","34.4299692","-118.53581","Faces by Di","(661) 718-6292","CA","http://www.facesbydi.com","91350","SkinscriptrxscraperItem"
"19195 Outer Hwy 18 Suite 105","","Apple Valley","","34.5362079","-117.2454334","Wild Hair Company","760-242-2907","CA","http://wildhaircompany.com/","92307","SkinscriptrxscraperItem"
"522 E Sheldon ","","Prescott","lindasc333@aol.com","34.5455328","-112.4621465","Linda Marie Skin Care","928-499-8080","AZ","","86301","SkinscriptrxscraperItem"
"1500 Highway 69","Inside Prescott Resort","Prescott","aborgata1@gmail.com","34.5483696","-112.4458108","A Borgata Salon","(928) 443-9119","Arizona","http://www.aborgatasalon.com","86301","SkinscriptrxscraperItem"
"located inside Colours of Sedona","6446 State Route 179, Suite 205","Sedona","redrockskincare@gmail.com","34.7566841","-111.7376178","Red Rock Skin Care","928-284-6844","AZ","http://www.redrockskincare.com/","86351","SkinscriptrxscraperItem"
"110 Normandy Street, Suite B","","Hot Springs","puresalonspa@outlook.com","34.4709551","-93.0620847","Pure Salon • Spa","(501) 701-9911","AR","http://www.purehs.com/","71913","SkinscriptrxscraperItem"
"823 N. Tibbs Rd.","","Dalton","skinscript1@gmail.com","34.7832148","-85.0014755","Details &#038; Options Salon Spa","706-271-0211","GA","","30720","SkinscriptrxscraperItem"
"425 N Main St","Suite B","Simpsonville","info@mybeautyloungesc.com","34.7459657","-82.2609365","M.Y. Beauty Lounge","864-399-0497","SC","http://www.mybeautyloungesc.com/","29681","SkinscriptrxscraperItem"
"1148 E Grand Avenue","","Arroyo Grande","ccredcoralspa@gmail.com","35.1201708","-120.5977131","Central Coast Red Coral Spa","805-904-2700","CA","http://www.ccredcoralspa.com/","93420","SkinscriptrxscraperItem"
"7420 District Bl # B","","Bakersfield","","35.313622","-119.0836459","Skin Care, Waxing &#038; Lashes by Janelle and Ofelia","805-390-8383 ","CA","","93313","SkinscriptrxscraperItem"
"3007 N. West St","","Flagstaff","nailcottage@juno.com","35.2173747","-111.6222971","The Nail Cottage Salon and Spa","(928) 774-6245","AZ","","86004","SkinscriptrxscraperItem"
"4601 Paradise Blvd ","Suite 106","Albuquerque ","","35.1833763","-106.672677","Le Reve Skincare","505-407-7546  ","NM","http://www.lereveskincare.com/","87114","SkinscriptrxscraperItem"
"#2 San Rafael, Suite D","","Albuquerque","2sanrafael@gmail.com","35.1640617","-106.4949374","Inspiring Wellness","505-225-0700","NM","http://www.inspiringwellness.info/","87122","SkinscriptrxscraperItem"
"6301 HWY 45","Suite E","Fort Smith","susansarkozy@gmail.com","35.3228962","-94.3868989","Susie Sarkozy, LE","479-926-1002","AR","","72919","SkinscriptrxscraperItem"
"5084 South Terrace","Suite 120","Chattanooga","eva@lifebalancemassage.com","35.0029245","-85.2224718","LifeBalance Massage &#038; Wellness","423-894-3175","TN","http://www.lifebalancemassage.com/","37412","SkinscriptrxscraperItem"
"360 Pelham Rd","","Greenville","","34.8665706","-82.349097","Pure Skin Spa / Clemson Eye Associates","864-268-1000 (office)","SC","http://www.clemsoneye.com","29615","SkinscriptrxscraperItem"
"800 S Pine St","Suite B","Spartanburg","katiemarvin1281@gmail.com","34.939362","-81.905643","Endless &#8220;Spa&#8221;sibilities","(864)-978-9567","SC","","29302","SkinscriptrxscraperItem"
"268 Rockmont Dr","","Fort Mill","info@sanctuaryfortmill.com","35.0603814","-80.9935933","Sanctuary Massage and Facial Spa"," 803-526-4292","SC","http://www.sanctuaryfortmill.com/","29708","SkinscriptrxscraperItem"
"11121 Carmel Commons Blvd","Building 100","Charlotte","luminosityskin20@yahoo.com","35.0844552","-80.8470481","Luminosity Skin Boutique | Located Inside Salons by JC","(704) 936-8482","NC","","28277","SkinscriptrxscraperItem"
"1010 Marquez Place","Suite D4","Santa Fe","leebowmanskin@gmail.com","35.6756298","-105.9511099","Lee Bowman SkinCare","(505) 670-9219","NM","http://www.spasantafe.com","87505","SkinscriptrxscraperItem"
"1010 Marquez Pl","Suite D4","Santa Fe","leebowmanskin@gmail.com","35.67563","-105.95111","Lee Bowman Skincare","505-670-9219","NM","http://www.spasantafe.com/","87505","SkinscriptrxscraperItem"
"105 S. Castle Rock Ln.","","Mustang","estygirl2015@gmail.com","35.3912144","-97.7155572","Southern Sass Esthetics and Beauty | Located Inside Cut N Loose Salon","(405) 203-5916","OK","http://southernsassesthetic.wix.com/4you","73064","SkinscriptrxscraperItem"
"11901 N. MacArthur Blvd","Suite C5","Oklahoma City","","35.591319","-97.6217039","Exquisite","(405) 456-9655","OK","http://www.exquisiteokc.com","73162","SkinscriptrxscraperItem"
"3722 Sweeten Creek Rd ","","Arden","europeanskincareandspa@gmail.com","35.47464","-82.515162","European Skincare &#038; Spa","(828) 708-7147","NC","http://www.europeanskincareandspa.com","","SkinscriptrxscraperItem"
"478 Williamson Rd Suite E","","Mooresville","","35.5750685","-80.8703178","Alight Wholistic Skin &#038; Body Therapies","704-245-3820","NC","http://www.alightwholistic.com/","28117","SkinscriptrxscraperItem"
"618 N Main Street","Suite 104","Mooresville","HealingTreeNC@massagetherapy.com","35.586973","-80.803173","Healing Tree Massage Therapy, Skincare, &#038; Wellness, LLC","704-604-5341","NC"," www.healingtreenc.massagetherapy.com","28115 ","SkinscriptrxscraperItem"
"114 Salem Towne Court","","Apex","","35.7382023","-78.8494534","Smooth Reflections Skincare","(919) 717-1231","NC","http://www.apexsmoothreflections.com/","27502","SkinscriptrxscraperItem"
"1152 Executive Circle","Suite 200","Cary","info@myglowbeauty.com","35.765455","-78.782318","Glow! Beauty Studio","(919) 228-9412","NC","http://www.myglowbeauty.com/","27511","SkinscriptrxscraperItem"
"7058 West Sunset Ave","suite 6","Springdale,","kool_tanz@yahoo.com","36.1769704","-94.2086872","","479-306-4900","AR","http://www.kooltanz.com/","72762","SkinscriptrxscraperItem"
"1970 E. Joyce Blvd. suite 3","","Fayetteville","Agelessglowbywendy@gmail.com","36.120487","-94.132589","Spoiled the Salon","479-966-6227","AR","http://www.agelessglownwa.com/","72703","SkinscriptrxscraperItem"
"117 5th Ave North","Suite B","Franklin","carmen@beautifulskinfranklin.com","35.9244147","-86.8722287","Beautiful Skin Franklin","615-485-8900","TN","http://beautifulskinfranklin.skincaretherapy.net/","37064","SkinscriptrxscraperItem"
"1175 Rock Springs Rd, Suite 100","","Smyrna","adoro@adoromassage.com","35.9814278","-86.5494442","Adoro Massage and Day Spa","615-462-5378","TN","http://www.adoromassage.com/","37167","SkinscriptrxscraperItem"
