Name_of_Church,Address,City,State,Zip,Phone,Pasors,Email,Web,ONA,Accessible,Fax,Latitude,Logitude,Distance,_type
Life's Journey UCC,2121 Edgewood Avenue,Burlington,NC,27215,336-227-2174,Walter P. Hardy ,phardy32262@aol.com,http://www.lifesjourneyucc.com/,Y,Y,336-227-8770,36.0687,-79.4685,39.2,UccscraperItem
United Church of Chapel Hill UCC ,1321 Martin Luther King Jr Blvd ,Chapel Hill ,NC,27514-6605,919-942-3540,Jill R.M. Edens  & John Richard Edens ,ucch@unitedchurch.org,http://www.unitedchurch.org,Y,Y,,35.950074,-79.058492,39.7,UccscraperItem
Children's Chapel UCC ,334 E Harden St ,Graham ,NC,27253-3012,336-227-3205,Rodney Foxx ,,null,N,Y,null,36.070662,-79.394879,39.8,UccscraperItem
Christian Home UCC ,700 Center Street ,Apex ,NC,27502-1712,919-362-4958,George M. Greene ,christianhome1@att.net,null,N,Y,null,35.729688,-78.843639,40.2,UccscraperItem
Historic Providence Christian Church ,819 N Main St ,Graham ,NC,27253-1735,336-228-1974,Darryl R. Peebles ,darryl@historicprovidence.org,http://www.historicprovidence.org,N,Y,null,36.079135,-79.405388,40.3,UccscraperItem
First Christian UCC ,415 S Church St ,Burlington ,NC,27216-3712,336-226-7428,Mark H. Pickett ,office@firstchristianucc.org,http://www.firstchristianucc.org,N,Y,336-228-7098,36.094728,-79.439622,41.1,UccscraperItem
First Reformed UCC ,513 W Front St ,Burlington ,NC,27215-3768,336-226-7346,Phillip R. Myers ,frucc@bellsouth.net,http://www.firstreformeducc.org,N,Y,336-226-7324,36.09756,-79.44162,41.3,UccscraperItem
Elon Community Church UCC ,271 N Williamson Ave ,Elon ,NC,27244-9152,336-584-0391,Randall L. Orwig ,eccucc@att.net,http://www.eloncommunitychurch.org/,Y,Y,336-584-7963,36.102529,-79.506697,41.5,UccscraperItem
Beverly Hills UCC ,715 N Church St ,Burlington ,NC,27215-2511,336-226-6949,,,null,N,N,null,36.10122,-79.42584,41.7,UccscraperItem
Ebenezer UCC ,734 Apple St ,Burlington ,NC,27217-2532,336-226-8526,Larry E. Covington ,church@ebenezerucc.com,http://www.ebenezerucc.com,N,Y,336-226-9496,36.105098,-79.429168,41.9,UccscraperItem
Clinton Memorial UCC ,1610 Durham St Extension,Burlington ,NC,27217-1126,336-570-2788,Charles Antoine Lee ,,null,N,Y,null,36.110806,-79.454694,42.2,UccscraperItem
Hillsborough United Church of Christ ,200 Davis Rd ,Hillsborough ,NC,27278-7317,919-732-9183,Jay Kennett ,hucc@hucc.org,http://www.hucc.org,Y,Y,null,36.028947,-79.102126,42.8,UccscraperItem
Emmanuel UCC ,2909 Phillips Ave ,Greensboro ,NC,27405-6335,336-375-3647,Larry A. Person ,,null,N,Y,336-375-3617,36.093872,-79.737269,43.1,UccscraperItem
Pleasant Hill UCC ,8100 Lake Wheeler Rd ,Raleigh ,NC,27603-5142,919-779-2238,Donald L. McCoy ,,null,N,Y,null,35.669256,-78.706914,20.2,UccscraperItem
Piney Plain Christian UCC ,2801 Piney Plains Rd ,Cary ,NC,27511-6877,919-851-5791,David Finley ,,null,N,Y,null,35.747869,-78.75177,22.1,UccscraperItem
Good Shepherd UCC ,1050 NW Maynard Rd ,Cary ,NC,27513-4989,919-481-1441,Carla P. Gregg ,secretary@gsucc.org,http://www.gsucc.org/,Y,Y,919-481-0015,35.791568,-78.805978,22.9,UccscraperItem
Community UCC ,814 Dixie Trl,Raleigh ,NC,27607-4157,(919)809-8850,,office.cucc@gmail.com,http://www.communityucc.org/,Y,Y,,35.79966,-78.67578,27.6,UccscraperItem
Praise Him Fellowship ,101 Donald Ross Ln,Raleigh ,NC,27610,919-231-1413,Benjamin Mccullers  & Elgean Mccullers ,,http://praisehimfellowship.com,N,N,919-231-3608,35.775542,-78.634589,28,UccscraperItem
Maple Temple UCC ,304 Dacian Rd ,Raleigh ,NC,27610-3536,919-231-3021,K. Ray Hill ,,null,N,Y,null,35.769581,-78.607027,28.9,UccscraperItem
Umstead Park United Church of Christ ,8208 Brownleigh Dr ,Raleigh ,NC,27617-7411,919-844-6661,Douglas Long ,office@upucc.org,http://www.upucc.org,Y,Y,null,35.888069,-78.74827,30.3,UccscraperItem
First Congregational UCC ,2221 Oakridge Blvd ,Durham ,NC,27707-3941,919-489-0990,Kelvin Lamorse Belle Sr. ,,null,N,Y,null,35.962,-78.9247,32.1,UccscraperItem
Pilgrim UCC ,3011 Academy Rd ,Durham ,NC,27707-2627,919-489-1381,,pucc@pilgrimucc-durham.org,http://www.pilgrimucc-durham.org,Y,Y,,35.970757,-78.943324,32.6,UccscraperItem
Mount Calvary UCC ,1715 Athens Ave.,Durham ,NC,27707-4311,919-688-5066,,mtcalvarysecretary@gmail.com,http://www.mtcalvaryucc.org,N,Y,,35.968796,-78.891564,32.9,UccscraperItem
Zion Temple UCC ,508 Sparella Street,Durham ,NC,27703-4453,(919)596-4705,Cheryl Moore ,ztucc@aol.com,,N,Y,,35.9721,-78.86412,33.4,UccscraperItem
Greater New Life Fellowship UCC ,1905 Spring Forest Rd ,Raleigh ,NC,27615-7437,919-637-0405,,,,N,N,,35.865257,-78.60579,33.6,UccscraperItem
Red Hill UCC ,10412 Buffalo Rd ,Clayton ,NC,27527-7699,919-553-8487,John W Highsmith ,,,N,Y,,35.640825,-78.338829,38.5,UccscraperItem
United Church of Christ ,6471 Falconwood Dr ,Eagle Rock ,NC,27591-8127,919-365-3552,Leowen Evans ,,null,N,Y,null,35.789469,-78.410835,38.7,UccscraperItem
Greater Grace Christian Church UCC ,1636 Park Ave,Youngsville,NC,27596,,Henrette Johen,GreaterGraceChristianChurch@yahoo.com,http://www.greatergracechristianchurch.org,N,Y,,35.954545,-78.526331,41.1,UccscraperItem
Beavers Chapel Christian Church UCC ,701 Proctor St ,Zebulon ,NC,27597-8727,919-269-9818,Reginald L. High ,,null,N,Y,null,35.838981,-78.31729,25.5,UccscraperItem
Corinth United Church of Christ ,7900 Zebulon Rd ,Youngsville ,NC,27596-8814,919-556-1810,,administrator@corinthucc.org,http://corinthucc.org,N,Y,919-556-7549,35.972518,-78.441202,32.7,UccscraperItem
Rock Spring UCC ,3185 Bruce Gardner Rd ,Creedmoor ,NC,27522-8721,919-528-2202,Veola P. Johnson ,pastorvpjohnson@gmail.com,null,N,Y,null,36.068064,-78.605973,39.6,UccscraperItem
Pope's Chapel UCC ,70 Popes Chapel Drive,Franklinton ,NC,27525-9801,919-494-5184,Leroy Dukes ,popes@popeschapel.org,http://www.popeschapel.org,N,Y,,36.09756,-78.45138,41.3,UccscraperItem
First United Church of Christ ,20 W Green St ,Franklinton ,NC,27525-1528,919-494-5242,Douglas A. Wooten ,firstunitedchurchofchrist@embarqmail.com,http://www.franklintonfucc.org,N,N,null,36.101719,-78.458467,41.5,UccscraperItem
Saints Delight United Church of Christ ,50 Promise Land Road,Louisburg ,NC,27549-9801,(919)212-0750,,ggoode1@bellsouth.net,http://www.saintsdelightucc.org,N,Y,,36.09458,-78.263594,43.1,UccscraperItem
Community Church of the Monterey Peninsula,4590 Carmel Valley Rd,Carmel,CA,93923-7936,(831)624-8595,Paul Wrightman ,ccmp@redshift.com,http://ccmp.org,N,Y,(831)624-8927,36.542194,-121.886509,37.9,UccscraperItem
Congregational Christian Church of Monterey Peninsula Malamalama Fou ,1600 Broadway ,Seaside ,CA,93955-5121,831-384-6929,Ieremia Aoelua ,ieremiaa@yahoo.com,,N,N,-,36.608641,-121.830131,43,UccscraperItem
First Congregational UCC,220 W Tulare Ave ,Tulare ,CA,93274-3950,559-686-5528,Natalie Chamberlain,officeucctulare@yahoo.com,http://www.ucctulare.org/,Y,Y,559-686-5462,36.207471,-119.35002,39.1,UccscraperItem
Northwest Community UCC ,101 S Rancho Dr ,Las Vegas ,NV,89106-,702-562-1897,Greg Davis,www.jgregdavis@me.com,http://www.northwestcommunitychurch.us,Y,N,,36.171751,-115.172589,21.8,UccscraperItem
Las Vegas United Church of Christ ,101 S Ranch Dr ,Las Vegas ,NV,89106-4843,702-575-9525,,lasvegasucc@gmail.com,,N,Y,,36.171789,-115.172583,21.8,UccscraperItem
Mary Magdalene Friends UCC,1140 Almond Tree Lane,Las Vegas,NV,89104,702-685-3859,Sarah Darter  & Grace Thompson & Kathryn A. Obenour  & Mary Russo-Marx,marymagdalenefriends@yahoo.com,http://www.marymagdalenefriends.org,Y,Y,,36.151821,-115.114323,24,UccscraperItem
Etena Fou Efkas Las Vegas/UCC,1200 N Eastern Ave ,Las Vegas ,NV,89101,702-651-0587,Ailao Tofaeono ,amtofaeono@yahoo.com,,N,N,,36.170794,-115.125873,24,UccscraperItem
First Congregational UCC ,3415 Mojave Road,Las Vegas,NV,89121,702-642-2220,,church@ucclasvegas.org,http://www.ucclasvegas.org/,Y,Y,,36.1237,-115.0917,24.4,UccscraperItem
Samoan Congregational Christian Church ,2075 N Lamb Blvd,Las Vegas ,NV,89115-5406,702-743-9386,Fereti Moenoa ,,null,N,Y,null,36.196983,-115.080104,27.1,UccscraperItem
United Church of Angel Fire,40 W Ridge Rd ,Angel Fire ,NM,87710,505-377-1559,Richard Safford,ucaf@qwestoffice.net,http://www.unitedchurchofangelfire.com/tp40/Default.asp?ID=133401,N,Y,505-377-7273,36.424228,-105.504665,40.3,UccscraperItem
Saint John's UCC ,502 N Fifth St ,Okeene ,OK,73763-9132,580-822-3673,Harold Hatt ,bdlaubach@pldi.net,,N,Y,-,36.115908,-98.314786,39.2,UccscraperItem
Puritan Cong-Christian United Church of Christ ,419 Missouri Ave ,Drummond ,OK,73735,580-493-2350,Matthew H. Perkins ,drummonducc@aol.com,null,N,Y,-,36.297766,-98.033789,33.2,UccscraperItem
First Congregational UCC ,200 N Broadway ,Goltry ,OK,73739,(580)233-5700,Jeanette Heitfeld,jheitfeld@yahoo.com,,N,N,,36.533416,-98.149208,41.7,UccscraperItem
Marshallese UCC ,805 E Cherokee Ave,Enid ,OK,73701,(508)231-3205,,,,N,N,,36.398567,-97.925841,42.2,UccscraperItem
Carrier Congregational UCC ,204 N 5th ,Carrier ,OK,73727,580-548-3880,,carrierucc@yahoo.com,http://www.carrierucc.com/index.php,N,Y,-,36.475752,-98.022509,42.3,UccscraperItem
Marshallese UCC ,210 N Thompson St,Bethel Heights,AR,72764,479-313-0600,,,null,N,N,null,36.123012,-94.097675,24.1,UccscraperItem
Marshallese Ministry UCC ,3389 N Thompson St ,Bethel Heights ,AR,72764-8032,(479)684-1859,Albon N. Langbon ,,,N,Y,479-927-1204,36.215107,-94.137714,25.1,UccscraperItem
Brookmeade Congregational UCC ,700 Bresslyn Rd ,Nashville ,TN,37205-2602,615-352-4702,,brookmeade@comcast.net,http://www.brookmeadeucc.org,Y,Y,615-356-1138,36.12012,-86.88102,35.6,UccscraperItem
Holy Trinity Community Church ,6727 Charlotte Pike ,Nashville ,TN,37209-4235,615-352-3838,,htccmedia@gmail.com,http://www.holytrinitycommunitychurch.com,Y,Y,615-352-3898,36.135594,-86.885557,35.6,UccscraperItem
Howard Congregational UCC ,2802 Buchanan St ,Nashville ,TN,37208-1900,615-254-6335,Christophe D. Ringer ,info@howarducc.org,http://www.howarducc.org/,N,Y,null,36.18049,-86.823325,39.9,UccscraperItem
United Church of Cookeville ,502 Gould Dr ,Cookeville ,TN,38506-4159,(931)260-5939,Scott Williamson,unitedchurchofcookeville@gmail.com,http://cookevilleucc.org/,Y,Y,-,36.132845,-85.536143,27.5,UccscraperItem
Deer Lodge Congregational UCC ,110 Old Deer Lodge Pike ,Deer Lodge ,TN,37726,423-965-4559,Rosalie Ann Hermonat ,,,N,Y,-,36.232585,-84.822487,41.2,UccscraperItem
High Country UCC ,8233 Hwy 421-N ,Vilas ,NC,28692,828-297-1092,Tamara Franks ,info@highcountryucc.org,http://www.highcountryucc.org,Y,Y,,36.289293,-81.803147,22.8,UccscraperItem
Wentz Memorial Congregational UCC ,3435 Carver School Rd ,Winston-Salem ,NC,27105-4756,336-722-0430,Renee Griffin ,,http://wentzmemorialucc.org/,Y,Y,null,36.130623,-80.20751,18.7,UccscraperItem
Fellowship UCC ,2415 Pleasant Ridge Rd,Summerfield,NC,27358,336-454-0050,Phillip W. Norwood ,,,N,Y,,36.150876,-79.921253,34,UccscraperItem
Community Christian Fellowship UCC ,1507 E Cone Blvd ,Greensboro ,NC,27405-4535,336-509-3704,Joseph W. Venable Jr ,,null,N,N,null,36.113439,-79.764725,41.9,UccscraperItem
Monticello UCC ,5001 E NC 150 ,Browns Summit ,NC,27214-9415,336-656-3400,Greg Bouck,monticellounitedch@att.net,,N,Y,-,36.219335,-79.676688,23.6,UccscraperItem
Zion United Church of Christ ,2262 Burch Bridge Rd ,Burlington ,NC,27217-8792,336-226-3106,,,null,N,Y,null,36.12672,-79.46352,31.3,UccscraperItem
Arches Grove UCC ,1479 Deep Creek Church Road,Burlington ,NC,27216,336-228-8678,Michael Thompson ,,,N,Y,,36.137067,-79.391942,35.3,UccscraperItem
Union Chapel UCC ,5087 Union Ridge Rd ,Burlington ,NC,27217-7593,336-421-9200,Ervin E. Milton ,eem5050@aol.com,http://www.ucunitedchurchofchrist.com,N,N,,36.20682,-79.40052,36.4,UccscraperItem
Melfield UCC ,2144 Melfield Dr ,Haw River ,NC,27258-9781,336-578-3163,Dannie Thomas Williams ,melfielducc@gmail.com,,N,Y,252-478-8006,36.20136,-79.3914,36.8,UccscraperItem
Lebanon Christian Church UCC ,349 Cunningham Rd ,Semora ,NC,27343,,,,,N,N,,36.507864,-79.141102,40.3,UccscraperItem
Saint Paul United Church of Christ ,292 N Lee Ave ,Middleburg ,NC,27556,252-438-4448,Darryl Carr ,,null,N,Y,null,36.330503,-78.432098,39.1,UccscraperItem
Union Grove UCC ,511 Parham St ,Henderson ,NC,27536-3251,252-438-7634,,Union Grove Centurylink.net,,N,Y,,36.327958,-78.411441,39.9,UccscraperItem
Fuller Chapel UCC ,1470 N Lynbank Rd ,Henderson ,NC,27536-7331,252-492-8070,,,null,N,N,null,36.325385,-78.407465,40,UccscraperItem
Lewis Chapel UCC ,Lewis Rd ,Oxford ,NC,27507,919-690-8782,Curtis Mcrae Sr ,,null,N,Y,null,36.515566,-78.599778,42,UccscraperItem
Hebron United Church of Christ ,Willards Mill Rd ,Nelson ,VA,24580,null,,,null,N,N,null,36.5607,-78.673,42.8,UccscraperItem
Mount Zion UCC ,911 Morgan Rd ,Henderson ,NC,27537-6188,252-430-6013,Calvin Brooks ,mtzion_ucc@yahoo.com,null,N,Y,null,36.46414,-78.452844,32.1,UccscraperItem
Mount Auburn UCC ,RR 1 ,Manson ,NC,27553-9801,252-456-3025,,elsie@rosemyr.com,,N,N,-,36.468769,-78.337176,33.6,UccscraperItem
Oak Level UCC ,RR 1 ,Manson ,NC,27553-9801,252-456-3030,Leon White ,,null,N,Y,null,36.46878,-78.29238,34.3,UccscraperItem
Burchette Chapel United Church of Christ ,148 Burchette Chapel Rd,Manson,NC,27553-9020,252-456-2545,Charlie E. Leath ,,,N,Y,-,36.482951,-78.283581,35.4,UccscraperItem
Higher Dimensions UCC/CC,516 Macon Embro Rd,Macon,NC,27551,(252)657-8390,Jamytta Cheryl Bell,administrator@hdccucc.org,http://hdccucc.org,N,N,,36.413523,-78.075874,37.1,UccscraperItem
Jerusalem UCC ,612 Jerusalem Rd.,Palmer Springs ,VA,23957,(434)774-7635,Otha Wimbush Jr ,jlbskhz@yahoo.com,,N,Y,,36.580188,-78.262118,42.2,UccscraperItem
Roanoke Chapel UCC ,3300 Paschall Rd ,Boydton ,VA,23917-4620,434-689-2456,Curtis Mcrae Sr ,,null,N,Y,null,36.569096,-78.192522,42.8,UccscraperItem
Elams Chapel UCC ,203 Ebony Rd ,Elams ,NC,27850-7932,252-586-4598,Nathaniel Bunn ,,null,N,Y,null,36.384905,-77.418351,42,UccscraperItem
Corinth Chapel UCC ,7945 Corinth Chapel Rd ,Suffolk ,VA,23437-9480,757-569-9293,,corinthchapelucc@hotmail.com,http://www.corinthchapelucc.org,N,Y,757-569-9293,36.582349,-76.835216,41.2,UccscraperItem
Ola Fou,3185 De Forest Rd,Marina,CA,93933-2742,(831)214-8553,Ma'a Utumapu,tauaimaautumapu@yahoo.com,,N,N,,36.687197,-121.791667,41.4,UccscraperItem
Peace UCC,900 High St ,Santa Cruz ,CA,95060-2531,831-426-2010,David C. Grishaw-Jones ,office@peaceunited.org,http://www.peaceunited.org,Y,Y,831-426-3854,36.978303,-122.045554,41.5,UccscraperItem
Penina Ole Ola ,3069 Bostick Ave ,Marina ,CA,93933-3727,831-384-3541,Lave Tuia ,lavetuia@yahoo.com,,N,N,,36.672816,-121.783164,41.6,UccscraperItem
Community Church ,26 Florido Ave ,La Selva Beach ,CA,95076-1725,831-688-4033,Jane Grady ,laselvabeachcc@sbcglobal.net,http://www.lsbcc.org,Y,Y,,36.93702,-121.8609,31.1,UccscraperItem
Skyland Community UCC ,25100 Skyland Rd ,Los Gatos ,CA,95033-8163,408-353-1310,Stephen K. Glauz-Todrank ,stephen@skylandchurch.com,http://www.skylandchurch.com,Y,Y,-,37.10666,-121.933519,42,UccscraperItem
First Congregational Church ,2131 N Van Ness Blvd ,Fresno ,CA,93704-6017,559-227-8489,Norman R. Broadbent ,office@bigredchurch.org,http://www.bigredchurch.org,Y,Y,559-227-8490,36.7695,-119.8033,43,UccscraperItem
Community UCC ,5550 N Fresno St ,Fresno ,CA,93710-6007,559-435-2690,Christopher Breedlove ,office@communityucc.com,http://www.communityucc.com,Y,Y,559-435-5327,36.751046,-119.78152,21.1,UccscraperItem
United Japanese Christian UCC ,136 N Villa Ave ,Clovis ,CA,93612-0251,559-322-0701,Akiko Miyake-Stoner,info@ujcclife.com,http://www.ujcclife.com/,N,Y,559-322-9710,36.830087,-119.712582,27.8,UccscraperItem
Congregational UCC ,603 Rumsey St ,Kiowa ,KS,67070-1250,(620)825-4076,Mario Ruggia ,congo@sctelcom.net,,N,Y,,37.0167,-98.4855,35.6,UccscraperItem
First Congregational UCC ,108 N Walnut St ,Pierce City ,MO,65723-1241,417-476-2875,,,http://www.freewebs.com/firstcongregationalucc/,N,Y,null,36.945307,-94.00256,41.3,UccscraperItem
Zion United Church of Christ ,RR 1 ,Mount Vernon ,MO,65712-9801,417-285-6223,Bob Faires,zionunitedchurch@gmail.com,http://zionunitedchurch.googlepages.com,N,Y,null,37.09819,-93.818292,42.5,UccscraperItem
Saint Peter's Evangelical UCC ,303 NE Pine St ,Billings ,MO,65610-9586,417-744-2701,Kemery S. Baldwin ,speucc@att.net,http://stpetersucc.us/,N,N,417-725-2081,37.0674,-93.55044,39.2,UccscraperItem
First Congregational UCC , ,Grandin ,MO,63943-,573-593-4342,,cathyking@windstream.net,,N,Y,-,36.87758,-90.779724,28.8,UccscraperItem
New Life Christian Church UCC ,2755 Barron Rd ,Poplar Bluff ,MO,63901-1929,573-785-3635,John Harwell ,,,N,Y,,36.79278,-90.4344,37.4,UccscraperItem
Mount Tabor UCC ,4205 Watson Rd,Saint Louis ,MO,63109,314-645-9025,Carole Barner ,mounttabor@sbcglobal.net,http://www.mounttaborucc.org,N,Y,314-645-9025,37.0787,-88.972,39.9,UccscraperItem
United Church ,4600 Buckner Ln ,Paducah ,KY,42001-5350,270-442-3722,,ucp_ucc@hotmail.com,http://www.uccpaducah.org,N,Y,270-442-6745,37.063977,-88.656794,39.9,UccscraperItem
Elk Spur UCC ,715 Elk Spur Rd ,Fancy Gap ,VA,24328,276-728-9549,Daniel Harrison,,http://www.elkspur.org,Y,N,,36.653956,-80.681028,20.7,UccscraperItem
Saint Paul UCC ,28301 Handson Rd ,Franklin ,VA,23851-4821,757-562-7098,,,null,N,Y,null,36.67482,-76.94664,33,UccscraperItem
Congregational Christian Church UCC ,412 N High St ,Franklin ,VA,23851-1420,757-562-3957,James H. Hyatt Jr. ,fccc1@verizon.net,http://www.geocities.com/franklinccc,N,Y,757-562-3957,36.67848,-76.92726,34.1,UccscraperItem
Union Hill UCC ,16192 Union Hill Rd ,Sedley ,VA,23878-2704,804-834-3904,Roy Arthur Stokes ,unionhillucc@hotmail.com,http://www.unionhillucc.com/,N,Y,757-466-7085,36.893509,-77.087509,35.5,UccscraperItem
Mount Moriah UCC ,,Homeville ,VA,23890,804-834-3560,Shelton H. Smith Ii ,,null,N,N,null,36.9142,-77.1146,35.7,UccscraperItem
Laurel Hill United Church of Christ ,8001 S Quay Rd ,Suffolk ,VA,23437-9667,757-657-6234,Carl  L. Sweat Jr. ,laurelhillucc@aol.com,http://www.laurelhillucc.org,N,Y,,36.65709,-76.816833,39.5,UccscraperItem
Burtons Grove Christian UCC ,14137 Courtland Hwy ,Wakefield ,VA,23888-2418,757-357-4889,,,null,N,Y,null,36.926241,-77.0131,39.9,UccscraperItem
Holland Christian UCC ,6733 S Quay Rd ,Suffolk ,VA,23437-8699,757-657-6681,Carl Dunlow,JaySlater1@mac.com,null,N,Y,null,36.67896,-76.78152,41.8,UccscraperItem
Holland Mission ,PO Box 7125 ,Suffolk ,VA,23437-8823,757-657-9964,,,null,N,Y,null,36.680531,-76.775427,42.2,UccscraperItem
Galatians UCC ,2320 Manning Rd ,Suffolk ,VA,23434-8558,757-934-0897,Madelene F. Beard ,,null,N,Y,null,36.6744,-76.6698,21.9,UccscraperItem
Congregational Christian UCC ,4 N Court St ,Windsor ,VA,23487-9628,757-242-4794,Sam Askew,staff@windsorchristian.org,http://www.windsorchristian.org,N,Y,757-242-4794,36.813006,-76.743573,25.9,UccscraperItem
Chapel Grove UCC ,7366 W Blackwater Rd ,Windsor ,VA,23487-4952,757-242-6178,H. Carlyle Church Jr ,chapel6ucc@verizon.net,,N,Y,757-242-6134,36.85308,-76.722,28.8,UccscraperItem
Oakland UCC ,5641 Godwin Blvd ,Suffolk ,VA,23434-8108,757-255-4353,Gregory S. Ryan,oaklandchurchucc@aol.com,http://www.oaklandchristianchurch.com,N,Y,757-255-2196,36.86052,-76.5807,34.1,UccscraperItem
New Bethany UCC ,15496 Benn's Church Blvd ,Smithfield ,VA,23430-2108,757-357-3612,Douglas Jones ,,null,N,N,null,36.89268,-76.58118,35.7,UccscraperItem
Antioch UCC ,900 Hull St ,Suffolk ,VA,23439-5900,757-539-0667,Jarvis Jones ,,null,N,Y,null,36.87558,-76.55502,35.8,UccscraperItem
Congregational Christian Church ,,Isle of Wight ,VA,23430-4873,757-357-4873,,gntlmnstan@aol.com,null,N,N,null,36.986289,-76.644384,38.9,UccscraperItem
Portsmouth United Church of Christ ,5900 Portsmouth Blvd ,Portsmouth ,VA,23701-1446,757-488-6075,,pucc.office@yahoo.com,http://www.portsmouthucc.org,N,Y,757-488-6021,36.82056,-76.38564,40.7,UccscraperItem
Union Surry United Church of Christ ,2654 New Design Rd ,Dendron,VA,23839,757-267-2353,,,,N,Y,,37.091059,-76.927778,41,UccscraperItem
Fellowship UCC ,1402 Gust Ln ,Chesapeake ,VA,23323-2906,757-485-5490,Lilton J. Marks Sr ,fellowshipucc@verizon.net,http://www.uccfellowship.org/,N,Y,757-558-2892,36.788232,-76.342439,41.6,UccscraperItem
Saint Luke UCC ,14166 Saint Lukes Rd ,Sedley ,VA,23878-2114,757-547-0844,Damion T. Batts,,null,N,N,null,36.747951,-76.264379,21.5,UccscraperItem
Zion Bethel UCC ,1617 Des Moines Ave ,Portsmouth ,VA,23704-4303,757-397-5418,Devlaming a. Peace ,,null,N,Y,757-397-1260,36.82656,-76.31922,24.7,UccscraperItem
The Great Awakening ,1520 High Street,Portsmouth,VA,23704,757-773-1301,Nanette H. Hilliard ,tgaucc@gmail.com,http://www.ourchurch.com/member/g/greatawakening/,Y,Y,,36.8296,-76.3124,25,UccscraperItem
Providence UCC ,2200 Vicker Ave ,Chesapeake ,VA,23324-3118,757-545-8347,,,http://www.providenceucc.org,N,Y,,36.80787,-76.256789,25.2,UccscraperItem
Saint Mark's UCC ,521 Obendorfer Rd ,Norfolk ,VA,23523-1656,757-545-5527,Thomas J. Hart ,,null,N,N,null,36.8283,-76.27554,25.8,UccscraperItem
Trinity UCC ,1057 Leckie St ,Portsmouth ,VA,23704-1903,757-397-7649,Charles Curry ,,http://trinityucofc.weebly.com/,N,N,,36.841773,-76.311514,25.8,UccscraperItem
Christian Church Uniting UCC ,6049 Indian River Rd ,Virginia Beach ,VA,23464-3803,757-420-1422,,,http://www.christianchurchuniting.org/,Y,Y,,36.81074,-76.203238,27,UccscraperItem
Union United Church of Christ ,877 Goff St ,Norfolk ,VA,23504-2702,757-623-1087,,info@unionuccnorfolk.org,,N,Y,757-623-9034,36.85968,-76.2753,27.8,UccscraperItem
New Macedonia UCC ,1426 Marshall Ave ,Norfolk ,VA,23504-2949,757-627-7878,,,null,N,Y,757-640-1239,36.8592,-76.2645,28,UccscraperItem
Tidewater United Church of Christ ,2660 W Neck Rd ,Virginia Beach ,VA,23456,757-430-2718,,,http://www.tidewaterucc.com,Y,Y,757-427-2481,36.744962,-76.060383,29.7,UccscraperItem
Bay View UCC ,1051 E Bayview Blvd ,Norfolk ,VA,23503-3944,757-588-2479,Daniel Wickert ,bayviewunited@yahoo.com,http://www.bayviewucc.org,N,Y,null,36.933773,-76.242384,33.2,UccscraperItem
Wesley Grove UCC ,2308 Roanoke Ave ,Newport News ,VA,23607-4720,757-247-0434,Antonio Newsome,wesleygroveucc@aol.com,,N,Y,757-247-0872,36.984892,-76.408419,33.8,UccscraperItem
Bayside Christian Church UCC ,2224 Greenwell Rd ,Virginia Beach ,VA,23455-2108,(757)464-3270,,baysideccucc@gmail.com,http://www.baysideccucc.org,N,Y,,36.9044,-76.1277,34.7,UccscraperItem
Lynnhaven Colony Congregational UCC ,2217 W Great Neck Rd ,Virginia Beach ,VA,23451-1505,757-481-7674,,pastor@lcccucc.hrcoxmail.com,http://www.lcccucc.org,Y,Y,757-496-0264,36.908059,-76.070993,36.9,UccscraperItem
First United Church of Christ ,1017 Todds Ln ,Hampton ,VA,23666-1924,757-826-7560,Lisa A. Gaul ,firstuccyo@verizon.net,http://www.firstucchampton.org,N,Y,757-826-7762,37.051188,-76.427634,38.2,UccscraperItem
Warwick UCC ,10 Matoaka Ln ,Newport News ,VA,23606-3129,757-599-5164,,welcome@warwickucc.com,http://www.warwickucc.com,Y,Y,,37.073775,-76.47681,39.6,UccscraperItem
Pescadero Community UCC ,363 Stage Rd ,Pescadero ,CA,94060,650-879-0408,,info@pescaderochurch.org,http://www.pescaderocommunitychurch.com/,N,N,-,37.255282,-122.382133,38.4,UccscraperItem
Ladera Community Church ,3300 Alpine Rd ,Portola Valley ,CA,94028-7525,650-854-5481,Lindsay L. Fulmer ,church@ladera.org,http://www.ladera.org,Y,Y,650-854-5482,37.39804,-122.191478,32.3,UccscraperItem
Village UCC ,3154 Woodside Rd ,Woodside ,CA,94062-2553,650-851-1587,,nancyr@wvchurch.org,http://www.wvchurch.org/,N,Y,650-851-5997,37.429334,-122.255019,32.5,UccscraperItem
Foothills Congregational UCC ,461 Orange Ave ,Los Altos ,CA,94022-3527,(650)282-7718,Matt Broadbent ,info@Foothills-Church.org,http://www.foothills-church.org,Y,Y,,37.374384,-122.116061,33.4,UccscraperItem
New Community of Faith/Baptist UCC ,6350 Rainbow Dr ,San Jose ,CA,95129-3944,408-253-1408,,revyarbrough@gmail.com,http://newcommunitysanjose.wordpress.com/,Y,Y,-,37.301179,-122.014847,33.9,UccscraperItem
"Congregational Community Church of Sunnyvale, UCC ",1112 S Bernardo Ave ,Sunnyvale ,CA,94087-2056,(408)739-3285,Ron Buford,conglchurch@outlook.com,http://www.uccsunnyvale.org,Y,Y,,37.359088,-122.058401,34.8,UccscraperItem
